"Sum - Count","Classification",,,,
"Date","<b>Unable to connect to Rserve</b> (result=-1, socket:unknown socket error 2).
","don't know...","food poisoning tweet","not a food poisoning tweet","Total Result"
"8/29/2013",,,6,8,14
"8/30/2013",,,6,3,9
"8/31/2013",,,1,5,6
"9/1/2013",,,1,11,12
"9/2/2013",,,4,8,12
"9/3/2013",,,7,6,13
"9/4/2013",,,,7,7
"9/5/2013",,,5,4,9
"9/6/2013",,,2,4,6
"9/7/2013",,,5,4,9
"9/8/2013",,,5,1,6
"9/9/2013",,,9,2,11
"9/10/2013",,1,3,1,5
"9/11/2013",,,8,4,12
"9/12/2013",,,1,2,3
"9/13/2013",,,4,2,6
"9/14/2013",,,5,2,7
"9/15/2013",,,4,5,9
"9/16/2013",,,7,3,10
"9/17/2013",,,4,4,8
"9/18/2013",,,5,1,6
"9/19/2013",,,4,3,7
"9/20/2013",,,3,2,5
"9/21/2013",,,8,1,9
"9/22/2013",,,2,,2
"9/23/2013",,,2,4,6
"9/24/2013",,,5,12,17
"9/25/2013",,,12,29,41
"9/26/2013",,,7,2,9
"9/27/2013",,,1,1,2
"9/28/2013",,,3,2,5
"9/29/2013",,,7,2,9
"9/30/2013",,,6,5,11
"10/1/2013",,,6,4,10
"10/2/2013",,1,3,5,9
"10/3/2013",,,4,4,8
"10/4/2013",,,1,4,5
"10/5/2013",,1,7,1,9
"10/6/2013",,,2,,2
"10/7/2013",,,5,8,13
"10/8/2013",,,6,6,12
"10/9/2013",,,4,9,13
"10/10/2013",,,,3,3
"10/11/2013",,,3,5,8
"10/12/2013",,,5,4,9
"10/13/2013",,1,9,5,15
"10/14/2013",,,3,3,6
"10/15/2013",,,8,4,12
"10/16/2013",,1,3,2,6
"10/17/2013",,,1,3,4
"10/18/2013",,,4,7,11
"10/19/2013",,,,2,2
"10/20/2013",,1,4,1,6
"10/21/2013",,,4,5,9
"10/22/2013",,,3,3,6
"10/23/2013",,,8,2,10
"10/24/2013",,,6,3,9
"10/25/2013",,,3,3,6
"10/26/2013",,,5,1,6
"10/27/2013",,,1,1,2
"10/28/2013",,,7,4,11
